sku_code,product_name,category,sub_category,portfolio,region,store_code,date,sales,units,price
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-01,1250.00,125,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-02,1180.00,118,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-03,1320.00,132,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-04,1450.00,145,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-05,1680.00,168,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-06,1850.00,185,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-07,1720.00,172,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-08,1290.00,129,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-09,1210.00,121,10.00
SKU_001,Organic Almonds 500g,Snacks,Nuts,Healthy Snacks,North,STR_N_001,2024-01-10,1380.00,138,10.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-01,2100.00,84,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-02,1980.00,79,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-03,2250.00,90,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-04,2400.00,96,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-05,2650.00,106,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-06,2800.00,112,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-07,2750.00,110,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-08,2150.00,86,25.00
